School Name (ULCS),Street Address,City,State,Coordinates,Zip Code,ULCS Code,Councilmanic District & Rep,Year Built,School Type,Managed,Planning Area,Police District,Total # of Students,Facility Condition Index [FCI],Condition Assessment Cost [CAC],Replacement Cost [CRV],American Indian/Alaskan Native (Not Hispanic) - Count,American Indian/Alaskan Native (Not Hispanic) - Percentage,Asian (not Hispanic) - Count,Asian (not Hispanic) - Percentage,Black/African American (not Hispanic) - Count,Black/African American (not Hispanic) - Percentage,Hispanic (any race) - Count,Hispanic (any race) - Percentage,Multi-Race/Two or more races (not Hispanic) - Count,Multi-Race/Two or more races (not Hispanic) - Percentage,Native Hawaiian or other Pacific Islander (not Hispanic) - Count,Native Hawaiian or other Pacific Islander (not Hispanic) - Percentage,White (not Hispanic) - Count,White (not Hispanic) - Percentage,CEP Economically Disadvantaged Rate,Sq. Ft. (Building),Sq. Ft. (Site),Sq. Ft. (Footprint),Capacity,# Floors,Special Needs - Count,Special Needs - Percentage,Avg Daily Attendance,10+ Absences
"ALLEN, DR. ETHEL SCHOOL",3200 W. LEHIGH AVE.,PHILADELPHIA,PA,"-75.184004,39.997126",19132,4440,5 - Clarke,1971,Elementary School,District,North-Central,22nd District,561,0.27,7430679,27621404,,,,,520,93%,21,4%,,,,,,,100%,83197,247609,51126,676,2,54,10%,91%,54%
"DUCKREY, TANNER SCHOOL",1501 W. DIAMOND ST.,PHILADELPHIA,PA,"-75.158909,39.985761",19121,4460,5 - Clarke,1968,Elementary School,District,North-Central,22nd District,629,0.26,8695222,33570180,,,,,587,93%,,,,,,,,,100%,101115,202288,48140,676,2,65,10%,93%,43%
"WRIGHT, RICHARD R. SCHOOL",2700 W. DAUPHIN ST.,PHILADELPHIA,PA,"-75.177679,39.989975",19132,4470,5 - Clarke,1970,Elementary School,District,North-Central,22nd District,385,0.4,10823286,27224000,,,,,339,88%,,,38,10%,,,,,100%,82000,187648,46803,636,3,75,19%,92%,47%
OVERBROOK EDUCATIONAL CENTER,6722 LANSDOWNE AVE.,PHILADELPHIA,PA,"-75.254807,39.973823",19151,4480,4 - Jones Jr.,1915,Elementary School,District,West,19th District,262,0,0,18302496,,,,,209,80%,,,34,13%,,,,,85%,55128,62385,12194,358,3,83,32%,95%,33%
"GIDEON, EDWARD SCHOOL",2817 W. GLENWOOD AVE.,PHILADELPHIA,PA,"-75.180765,39.984365",19121,4530,5 - Clarke,1952,Elementary School,District,North-Central,22nd District,328,0.56,12417690,22244000,,,,,312,95%,,,,,,,,,100%,67000,98132,24854,596,3,48,15%,92%,51%
"KELLEY, WILLIAM D. SCHOOL",1601 N. 28TH ST.,PHILADELPHIA,PA,"-75.180107,39.980697",19121,4560,5 - Clarke,1965,Elementary School,District,North-Central,22nd District,400,0.42,10034830,23904000,,,,,381,95%,,,,,,,,,100%,72000,72446,31402,676,3,44,11%,92%,53%
"MEADE, GEN. GEORGE G. SCHOOL",1600 N. 18TH ST.,PHILADELPHIA,PA,"-75.164982,39.978396",19121,4570,5 - Clarke,1937,Elementary School,District,North-Central,22nd District,393,0.73,22633340,31208000,,,,,356,91%,,,,,,,,,100%,94000,66287,27336,894,3,49,12%,92%,51%
"EDISON, THOMAS A. HIGH SCHOOL",151 W. LUZERNE ST.,PHILADELPHIA,PA,"-75.128311,40.012558",19140,5020,7- Q-S,1985,High School,District,North-Central,25th District,1257,0.05,5180251,112180000,,,,,298,24%,917,73%,20,2%,,,,,100%,316000,649043,163783,2218,5,375,30%,78%,79%
PHILADELPHIA MILITARY ACADEMY,2118 N. 13TH ST.,PHILADELPHIA,PA,"-75.154457,39.98548",19122,5050,5 - Clarke,1930,High School,District,North-Central,22nd District,313,0.57,15071693,26467735,,,,,191,61%,89,28%,,,,,,,100%,74557,108368,23667,850,3,34,11%,95%,33%
"MASTBAUM, JULES E. HIGH SCHOOL",3116 FRANKFORD AVE.,PHILADELPHIA,PA,"-75.112298,39.992819",19134,5060,1 - Squilla,1929,High School,District,North-Central,24th District,693,0.69,53789885,78455000,,,,,343,49%,296,43%,,,,,39,6%,100%,221000,86784,55888,1313,6,122,18%,89%,63%
PARKWAY-NORTHWEST HIGH SCHOOL,1100 E. MT. PLEASANT AVE.,PHILADELPHIA,PA,"-75.197047,40.062261",19150,5070,8 - Bass,1960,High School,District,Northwest,14th District,220,0,0,15434690,,,,,206,94%,,,,,,,,,90%,43478,28067,23115,300,,,,91%,55%
PARKWAY CENTER CITY HIGH SCHL,540 N. 13TH ST.,PHILADELPHIA,PA,"-75.159559,39.962787",19123,5080,5 - Clarke,1927,High School,District,South-Central,6th District,556,0.5526,20485673,37070406,,,41,7%,444,80%,45,8%,,,,,,,100%,108393,56977,24105,850,,21,4%,92%,52%
